<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>,<VOL>
LKOH,D,20111005,000000,1547.1000000,2848474
LKOH,D,20111006,000000,1591.4000000,2483008
LKOH,D,20111007,000000,1618.7000000,2607741
LKOH,D,20111010,000000,1670.0000000,2263185
LKOH,D,20111011,000000,1664.0000000,2242496
LKOH,D,20111012,000000,1686.5000000,2233124
LKOH,D,20111013,000000,1666.8000000,2968356
LKOH,D,20111014,000000,1712.0000000,2377271
LKOH,D,20111017,000000,1675.0000000,3063065
LKOH,D,20111018,000000,1725.7000000,3035405
LKOH,D,20111019,000000,1707.4000000,2585214
LKOH,D,20111020,000000,1701.3000000,1934848
LKOH,D,20111021,000000,1746.0000000,1954715
LKOH,D,20111024,000000,1777.9000000,2363990
LKOH,D,20111025,000000,1756.7000000,1978690
LKOH,D,20111026,000000,1770.0000000,2585707
LKOH,D,20111027,000000,1759.0000000,3324124
LKOH,D,20111028,000000,1761.0000000,2566524
LKOH,D,20111031,000000,1758.1000000,1749638
LKOH,D,20111101,000000,1740.0000000,2703973
LKOH,D,20111102,000000,1760.0000000,2140439
LKOH,D,20111103,000000,1766.0000000,2560950
LKOH,D,20111107,000000,1805.0000000,1844768
LKOH,D,20111108,000000,1800.0000000,2267722
LKOH,D,20111109,000000,1764.7000000,2861997
LKOH,D,20111110,000000,1785.7000000,2549244
LKOH,D,20111111,000000,1735.3000000,3374900
LKOH,D,20111114,000000,1720.3000000,1774231
LKOH,D,20111115,000000,1742.1000000,3004487
LKOH,D,20111116,000000,1741.1000000,2209427
LKOH,D,20111117,000000,1742.6000000,2189352
LKOH,D,20111118,000000,1713.9000000,2263277
LKOH,D,20111121,000000,1647.9000000,2710349
LKOH,D,20111122,000000,1651.0000000,1999009
LKOH,D,20111123,000000,1659.0000000,2032212
LKOH,D,20111124,000000,1633.0000000,1345209
LKOH,D,20111125,000000,1644.8000000,2266752
LKOH,D,20111128,000000,1713.7000000,2189820
LKOH,D,20111129,000000,1692.0000000,1566265
LKOH,D,20111130,000000,1722.0000000,3104925
LKOH,D,20111201,000000,1704.0000000,2793607
LKOH,D,20111202,000000,1705.0000000,2423186
LKOH,D,20111205,000000,1729.0000000,1532305
LKOH,D,20111206,000000,1674.5000000,2773264
LKOH,D,20111207,000000,1658.0000000,2342462
LKOH,D,20111208,000000,1689.7000000,2804451
LKOH,D,20111209,000000,1615.0000000,3260193
LKOH,D,20111212,000000,1587.7000000,2133949
LKOH,D,20111213,000000,1623.1000000,2665362
LKOH,D,20111214,000000,1606.0000000,2584620
LKOH,D,20111215,000000,1623.4000000,3526712
LKOH,D,20111216,000000,1602.7000000,1859383
LKOH,D,20111219,000000,1633.0000000,1641743
LKOH,D,20111220,000000,1654.0000000,1270388
LKOH,D,20111221,000000,1634.9000000,2325570
LKOH,D,20111222,000000,1635.0000000,1092909
LKOH,D,20111223,000000,1641.1000000,1410346
LKOH,D,20111226,000000,1650.0000000,392731
LKOH,D,20111227,000000,1655.1000000,741000
LKOH,D,20111228,000000,1673.1000000,1563785
LKOH,D,20111229,000000,1685.1000000,1098295
LKOH,D,20111230,000000,1701.0000000,971917
LKOH,D,20120103,000000,1731.0000000,1135017
LKOH,D,20120104,000000,1722.1000000,658758
LKOH,D,20120105,000000,1723.2000000,740779
LKOH,D,20120106,000000,1738.4000000,812355
LKOH,D,20120109,000000,1754.3000000,646043
LKOH,D,20120110,000000,1783.7000000,1799532
LKOH,D,20120111,000000,1782.0000000,1335735
LKOH,D,20120112,000000,1761.1000000,1252339
LKOH,D,20120113,000000,1751.2000000,1702572
LKOH,D,20120116,000000,1768.2000000,1073434
LKOH,D,20120117,000000,1795.0000000,1725078
LKOH,D,20120118,000000,1808.0000000,1519338
LKOH,D,20120119,000000,1820.0000000,1470102
LKOH,D,20120120,000000,1806.0000000,1248613
LKOH,D,20120123,000000,1815.4000000,1363109
LKOH,D,20120124,000000,1783.0000000,1881215
LKOH,D,20120125,000000,1780.0000000,1730457
LKOH,D,20120126,000000,1768.0000000,1963762
LKOH,D,20120127,000000,1765.0000000,1231185
LKOH,D,20120130,000000,1769.1000000,1336248
LKOH,D,20120131,000000,1766.3000000,2196884
LKOH,D,20120201,000000,1784.0000000,1764011
LKOH,D,20120202,000000,1797.5000000,1803139
LKOH,D,20120203,000000,1814.9000000,1267385
LKOH,D,20120206,000000,1812.0000000,1150424
LKOH,D,20120207,000000,1793.5000000,1059967
LKOH,D,20120208,000000,1817.1000000,2232659
LKOH,D,20120209,000000,1806.0000000,2090050
LKOH,D,20120210,000000,1810.6000000,1688764
LKOH,D,20120213,000000,1842.7000000,1503315
LKOH,D,20120214,000000,1865.0000000,1480953
LKOH,D,20120215,000000,1880.0000000,1664769
LKOH,D,20120216,000000,1879.9000000,1717941
LKOH,D,20120217,000000,1875.1000000,1546809
LKOH,D,20120220,000000,1879.0000000,980062
LKOH,D,20120221,000000,1838.0000000,1756897
LKOH,D,20120222,000000,1777.2000000,3478662
LKOH,D,20120224,000000,1872.1000000,3729790
LKOH,D,20120227,000000,1865.9000000,2014886
LKOH,D,20120228,000000,1831.0000000,2072607
LKOH,D,20120229,000000,1875.1000000,1898078
LKOH,D,20120301,000000,1870.5000000,3018206
LKOH,D,20120302,000000,1892.0000000,2069063
LKOH,D,20120305,000000,1909.0000000,2034275
LKOH,D,20120306,000000,1843.9000000,2301478
LKOH,D,20120307,000000,1850.0000000,1798281
LKOH,D,20120311,000000,1883.1000000,807804
LKOH,D,20120312,000000,1895.9000000,2280975
LKOH,D,20120313,000000,1915.4000000,1768082
LKOH,D,20120314,000000,1921.8000000,2067891
LKOH,D,20120315,000000,1924.9000000,3811491
LKOH,D,20120316,000000,1898.2000000,1763460
LKOH,D,20120319,000000,1862.1000000,1912603
LKOH,D,20120320,000000,1848.9000000,1880580
LKOH,D,20120321,000000,1842.2000000,2001738
LKOH,D,20120322,000000,1820.1000000,2256426
LKOH,D,20120323,000000,1834.7000000,1488784
LKOH,D,20120326,000000,1850.0000000,1719876
LKOH,D,20120327,000000,1846.5000000,1521105
LKOH,D,20120328,000000,1803.0000000,2269007
LKOH,D,20120329,000000,1778.6000000,2119207
LKOH,D,20120330,000000,1781.4000000,2257374
LKOH,D,20120402,000000,1775.0000000,1793637
LKOH,D,20120403,000000,1820.4000000,1993938
LKOH,D,20120404,000000,1783.2000000,2419270
LKOH,D,20120405,000000,1801.4000000,1862441
LKOH,D,20120406,000000,1771.0000000,1323337
LKOH,D,20120409,000000,1790.0000000,1666974
LKOH,D,20120410,000000,1785.0000000,2079065
LKOH,D,20120411,000000,1814.1000000,2778306
LKOH,D,20120412,000000,1812.0000000,2301003
LKOH,D,20120413,000000,1811.0000000,2179424
LKOH,D,20120416,000000,1785.1000000,2409437
LKOH,D,20120417,000000,1777.7000000,1969090
LKOH,D,20120418,000000,1775.8000000,1411818
LKOH,D,20120419,000000,1799.0000000,2580141
LKOH,D,20120420,000000,1812.7000000,2343568
LKOH,D,20120423,000000,1775.0000000,2343580
LKOH,D,20120424,000000,1768.5000000,1427616
LKOH,D,20120425,000000,1766.0000000,1245885
LKOH,D,20120426,000000,1756.0000000,1335794
LKOH,D,20120427,000000,1791.7000000,1573148
LKOH,D,20120428,000000,1794.3000000,189015
LKOH,D,20120502,000000,1771.8000000,1442631
LKOH,D,20120503,000000,1775.4000000,911898
LKOH,D,20120504,000000,1720.0000000,2218401
LKOH,D,20120505,000000,1712.2000000,319634
LKOH,D,20120507,000000,1716.4000000,789725
LKOH,D,20120508,000000,1705.0000000,945091
LKOH,D,20120510,000000,1745.0000000,2515675
LKOH,D,20120511,000000,1735.0000000,1832013
LKOH,D,20120512,000000,1687.0000000,768986
LKOH,D,20120514,000000,1643.0000000,1684657
LKOH,D,20120515,000000,1688.9000000,2306826
LKOH,D,20120516,000000,1657.0000000,1635669
LKOH,D,20120517,000000,1590.8000000,2496729
LKOH,D,20120518,000000,1593.7000000,2340764
LKOH,D,20120521,000000,1640.0000000,1638903
LKOH,D,20120522,000000,1629.0000000,1738301
LKOH,D,20120523,000000,1601.0000000,2012156
LKOH,D,20120524,000000,1645.8000000,1799020
LKOH,D,20120525,000000,1639.4000000,1417393
LKOH,D,20120528,000000,1667.0000000,1229561
LKOH,D,20120529,000000,1724.9000000,2284058
LKOH,D,20120530,000000,1702.6000000,1852091
LKOH,D,20120531,000000,1720.0000000,1840938
LKOH,D,20120601,000000,1741.9000000,2840745
LKOH,D,20120604,000000,1733.0000000,2056451
LKOH,D,20120605,000000,1714.8000000,1925995
LKOH,D,20120606,000000,1730.5000000,2513426
LKOH,D,20120607,000000,1709.0000000,3403330
LKOH,D,20120608,000000,1711.7000000,2679892
LKOH,D,20120609,000000,1710.2000000,571219
LKOH,D,20120613,000000,1708.3000000,1736890
LKOH,D,20120614,000000,1714.0000000,981064
LKOH,D,20120615,000000,1737.0000000,3421104
LKOH,D,20120618,000000,1749.1000000,2583025
LKOH,D,20120619,000000,1746.3000000,2067651
LKOH,D,20120620,000000,1746.2000000,1149167
LKOH,D,20120621,000000,1737.0000000,1350525
LKOH,D,20120622,000000,1715.0000000,1562083
LKOH,D,20120625,000000,1706.8000000,1055256
LKOH,D,20120626,000000,1733.9000000,1053768
LKOH,D,20120627,000000,1773.1000000,1656513
LKOH,D,20120628,000000,1767.7000000,1580495
LKOH,D,20120629,000000,1801.7000000,2384428
LKOH,D,20120702,000000,1805.0000000,1357535
LKOH,D,20120703,000000,1831.7000000,2262325
LKOH,D,20120704,000000,1840.0000000,847182
LKOH,D,20120705,000000,1838.5000000,1609355
LKOH,D,20120706,000000,1825.4000000,1285791
LKOH,D,20120709,000000,1829.8000000,1215719
LKOH,D,20120710,000000,1823.8000000,1231624
LKOH,D,20120711,000000,1803.1000000,1441418
LKOH,D,20120712,000000,1803.0000000,1127077
LKOH,D,20120713,000000,1818.0000000,1381224
LKOH,D,20120716,000000,1841.0000000,927882
LKOH,D,20120717,000000,1855.4000000,1419464
LKOH,D,20120718,000000,1835.0000000,970114
LKOH,D,20120719,000000,1820.0000000,1673162
LKOH,D,20120720,000000,1804.9000000,1026996
LKOH,D,20120723,000000,1801.6000000,2022177
LKOH,D,20120724,000000,1781.0000000,1347493
LKOH,D,20120725,000000,1774.8000000,1317592
