<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>,<VOL>
QIWI,D,20140328,000000,1141.7000000,1439
QIWI,D,20140331,000000,1210.0000000,773
QIWI,D,20140401,000000,1303.9000000,2045
QIWI,D,20140402,000000,1307.6000000,372
QIWI,D,20140403,000000,1275.2000000,417
QIWI,D,20140404,000000,1275.0000000,504
QIWI,D,20140407,000000,1180.1000000,1614
QIWI,D,20140408,000000,1158.0000000,1300
QIWI,D,20140409,000000,1128.5000000,1506
QIWI,D,20140410,000000,1155.8000000,391
QIWI,D,20140411,000000,1175.0000000,1388
QIWI,D,20140414,000000,1121.0000000,746
QIWI,D,20140415,000000,1147.9000000,76
QIWI,D,20140416,000000,1158.6000000,49
QIWI,D,20140417,000000,1163.8000000,20
QIWI,D,20140418,000000,1181.0000000,622
QIWI,D,20140421,000000,1195.0000000,604
QIWI,D,20140422,000000,1172.9000000,57
QIWI,D,20140423,000000,1169.9000000,412
QIWI,D,20140424,000000,1040.0000000,1156
QIWI,D,20140425,000000,1020.0000000,446
QIWI,D,20140428,000000,1043.9000000,205
QIWI,D,20140429,000000,1049.9000000,18
QIWI,D,20140430,000000,1039.6000000,15
QIWI,D,20140502,000000,1053.6000000,49
QIWI,D,20140505,000000,1040.1000000,25
QIWI,D,20140506,000000,1060.0000000,33
QIWI,D,20140507,000000,1071.0000000,381
QIWI,D,20140508,000000,1132.5000000,968
QIWI,D,20140512,000000,1101.8000000,189
QIWI,D,20140513,000000,1177.0000000,2279
QIWI,D,20140514,000000,1155.0000000,889
QIWI,D,20140515,000000,1149.9000000,30
QIWI,D,20140516,000000,1175.0000000,52
QIWI,D,20140519,000000,1190.0000000,1121
QIWI,D,20140520,000000,1219.7000000,433
QIWI,D,20140521,000000,1398.5000000,2886
QIWI,D,20140522,000000,1501.1000000,1330
QIWI,D,20140523,000000,1500.0000000,280
QIWI,D,20140526,000000,1475.1000000,160
QIWI,D,20140527,000000,1550.5000000,657
QIWI,D,20140528,000000,1536.2000000,229
QIWI,D,20140529,000000,1500.0000000,1013
QIWI,D,20140530,000000,1525.2000000,178
QIWI,D,20140602,000000,1474.4000000,347
QIWI,D,20140603,000000,1510.0000000,32
QIWI,D,20140604,000000,1499.5000000,193
QIWI,D,20140605,000000,1508.3000000,261
QIWI,D,20140606,000000,1574.1000000,73
QIWI,D,20140609,000000,1600.0000000,298
QIWI,D,20140610,000000,1529.8000000,136
QIWI,D,20140611,000000,1530.0000000,335
QIWI,D,20140616,000000,1500.0000000,560
QIWI,D,20140617,000000,1444.9000000,713
QIWI,D,20140618,000000,1395.0000000,968
QIWI,D,20140619,000000,1380.0000000,105
QIWI,D,20140620,000000,1382.5000000,1258
QIWI,D,20140623,000000,1345.0000000,795
QIWI,D,20140624,000000,1359.9000000,344
QIWI,D,20140625,000000,1380.0000000,221
QIWI,D,20140626,000000,1377.0000000,175
QIWI,D,20140627,000000,1386.6000000,29
QIWI,D,20140630,000000,1370.0000000,1064
QIWI,D,20140701,000000,1375.2000000,64
QIWI,D,20140702,000000,1393.9000000,8
QIWI,D,20140703,000000,1375.0000000,68
QIWI,D,20140704,000000,1439.4000000,984
QIWI,D,20140707,000000,1430.0000000,93
QIWI,D,20140708,000000,1380.0000000,235
QIWI,D,20140709,000000,1364.6000000,443
QIWI,D,20140710,000000,1383.0000000,203
QIWI,D,20140711,000000,1404.4000000,108
QIWI,D,20140714,000000,1431.2000000,1856
QIWI,D,20140715,000000,1510.0000000,2093
QIWI,D,20140716,000000,1523.0000000,70
QIWI,D,20140717,000000,1531.2000000,567
QIWI,D,20140718,000000,1439.8000000,1305
QIWI,D,20140721,000000,1399.9000000,140
QIWI,D,20140722,000000,1370.0000000,1334
QIWI,D,20140723,000000,1382.0000000,190
QIWI,D,20140724,000000,1383.0000000,230
QIWI,D,20140725,000000,1330.0000000,892
QIWI,D,20140728,000000,1315.0000000,292
QIWI,D,20140729,000000,1348.4000000,531
QIWI,D,20140730,000000,1381.9000000,111
QIWI,D,20140731,000000,1360.0000000,73
QIWI,D,20140801,000000,1310.0000000,83
QIWI,D,20140804,000000,1348.7000000,9
QIWI,D,20140805,000000,1390.5000000,460
QIWI,D,20140806,000000,1399.9000000,467
QIWI,D,20140807,000000,1420.0000000,1050
QIWI,D,20140808,000000,1323.9000000,1340
QIWI,D,20140811,000000,1320.0000000,736
QIWI,D,20140812,000000,1320.0000000,204
QIWI,D,20140813,000000,1338.0000000,200
QIWI,D,20140814,000000,1308.4000000,52
QIWI,D,20140815,000000,1345.1000000,667
QIWI,D,20140818,000000,1385.0000000,577
QIWI,D,20140819,000000,1420.0000000,363
QIWI,D,20140820,000000,1422.5000000,29
QIWI,D,20140821,000000,1422.4000000,241
QIWI,D,20140822,000000,1399.9000000,262
QIWI,D,20140825,000000,1407.5000000,46
QIWI,D,20140826,000000,1430.0000000,1
QIWI,D,20140827,000000,1454.5000000,77
QIWI,D,20140828,000000,1445.0000000,1210
QIWI,D,20140829,000000,1449.6000000,495
QIWI,D,20140901,000000,1440.0000000,157
QIWI,D,20140902,000000,1410.0000000,414
QIWI,D,20140903,000000,1437.4000000,669
QIWI,D,20140904,000000,1375.0000000,713
QIWI,D,20140905,000000,1405.1000000,604
QIWI,D,20140908,000000,1465.7000000,1087
QIWI,D,20140909,000000,1375.0000000,3040
QIWI,D,20140910,000000,1389.9000000,1474
QIWI,D,20140911,000000,1400.0000000,680
QIWI,D,20140912,000000,1379.5000000,208
QIWI,D,20140915,000000,1343.7000000,480
QIWI,D,20140916,000000,1396.0000000,850
QIWI,D,20140917,000000,1343.0000000,172
QIWI,D,20140918,000000,1399.0000000,735
QIWI,D,20140919,000000,1320.0000000,669
QIWI,D,20140922,000000,1285.0000000,174
